variable,unique_id,kept,reason_non_numeric_pred,reason_true_is_77_88_99,reason_true_not_in_brace_allowed,reason_pred_not_in_brace_allowed,reason_participant_excluded_due_to_any_special
agea,PL_64009,True,False,False,False,False,False
agea,PL_70802,True,False,False,False,False,False
agea,PL_69071,True,False,False,False,False,False
agea,PL_52281,True,False,False,False,False,False
agea,PL_62721,True,False,False,False,False,False
agea,PL_98980,True,False,False,False,False,False
agea,PL_56125,True,False,False,False,False,False
agea,PL_92637,True,False,False,False,False,False
agea,PL_60172,True,False,False,False,False,False
agea,PL_57671,True,False,False,False,False,False
agea,PL_56580,True,False,False,False,False,False
agea,PL_80311,True,False,False,False,False,False
agea,PL_72855,True,False,False,False,False,False
agea,PL_70798,True,False,False,False,False,False
agea,PL_88117,True,False,False,False,False,False
agea,PL_74933,True,False,False,False,False,False
agea,PL_81724,True,False,False,False,False,False
agea,PL_59206,True,False,False,False,False,False
agea,PL_65931,True,False,False,False,False,False
agea,PL_61765,True,False,False,False,False,False
agea,PL_57879,True,False,False,False,False,False
agea,PL_57885,True,False,False,False,False,False
agea,PL_62067,True,False,False,False,False,False
agea,PL_80732,True,False,False,False,False,False
agea,PL_79673,True,False,False,False,False,False
agea,PL_82285,True,False,False,False,False,False
agea,PL_70513,True,False,False,False,False,False
agea,PL_64924,True,False,False,False,False,False
agea,PL_51657,True,False,False,False,False,False
agea,PL_94064,True,False,False,False,False,False
agea,PL_77869,True,False,False,False,False,False
agea,PL_55920,True,False,False,False,False,False
agea,PL_57996,True,False,False,False,False,False
agea,PL_70336,True,False,False,False,False,False
agea,PL_75407,True,False,False,False,False,False
agea,PL_59074,True,False,False,False,False,False
agea,PL_51651,True,False,False,False,False,False
agea,PL_91783,True,False,False,False,False,False
agea,PL_88688,True,False,False,False,False,False
agea,PL_50881,True,False,False,False,False,False
agea,PL_56447,True,False,False,False,False,False
agea,PL_81746,True,False,False,False,False,False
agea,PL_63349,True,False,False,False,False,False
agea,PL_71377,True,False,False,False,False,False
agea,PL_87410,True,False,False,False,False,False
agea,PL_67795,True,False,False,False,False,False
agea,PL_52327,True,False,False,False,False,False
agea,PL_87784,True,False,False,False,False,False
agea,PL_91122,True,False,False,False,False,False
agea,PL_78958,True,False,False,False,False,False
agea,PL_95503,True,False,False,False,False,False
agea,PL_89137,True,False,False,False,False,False
agea,PL_92221,True,False,False,False,False,False
agea,PL_58747,True,False,False,False,False,False
agea,PL_76348,True,False,False,False,False,False
agea,PL_54604,True,False,False,False,False,False
agea,PL_59318,True,False,False,False,False,False
agea,PL_70757,True,False,False,False,False,False
agea,PL_91087,True,False,False,False,False,False
agea,PL_96505,True,False,False,False,False,False
agea,PL_56337,True,False,False,False,False,False
agea,PL_60606,True,False,False,False,False,False
agea,PL_88617,True,False,False,False,False,False
agea,PL_55149,True,False,False,False,False,False
agea,PL_73353,True,False,False,False,False,False
agea,PL_79306,True,False,False,False,False,False
agea,PL_86418,True,False,False,False,False,False
agea,PL_51603,True,False,False,False,False,False
agea,PL_81185,True,False,False,False,False,False
agea,PL_59209,True,False,False,False,False,False
agea,PL_91004,True,False,False,False,False,False
agea,PL_85364,True,False,False,False,False,False
agea,PL_87433,True,False,False,False,False,False
agea,PL_52868,True,False,False,False,False,False
agea,PL_80958,True,False,False,False,False,False
agea,PL_96308,True,False,False,False,False,False
agea,PL_93582,True,False,False,False,False,False
agea,PL_62624,True,False,False,False,False,False
agea,PL_85499,True,False,False,False,False,False
agea,PL_86000,True,False,False,False,False,False
agea,PL_86226,True,False,False,False,False,False
agea,PL_52881,True,False,False,False,False,False
agea,PL_76530,True,False,False,False,False,False
agea,PL_92933,True,False,False,False,False,False
agea,PL_71687,True,False,False,False,False,False
agea,PL_87996,True,False,False,False,False,False
agea,PL_87598,True,False,False,False,False,False
agea,PL_71964,True,False,False,False,False,False
agea,PL_52589,True,False,False,False,False,False
agea,PL_50493,True,False,False,False,False,False
agea,PL_64784,True,False,False,False,False,False
agea,PL_74321,True,False,False,False,False,False
agea,PL_54278,True,False,False,False,False,False
agea,PL_83901,True,False,False,False,False,False
agea,PL_60284,True,False,False,False,False,False
agea,PL_68977,True,False,False,False,False,False
agea,PL_64224,True,False,False,False,False,False
agea,PL_82503,True,False,False,False,False,False
agea,PL_91165,True,False,False,False,False,False
agea,PL_83095,True,False,False,False,False,False
agea,PL_64104,True,False,False,False,False,False
agea,PL_94454,True,False,False,False,False,False
agea,PL_61538,True,False,False,False,False,False
agea,PL_97712,True,False,False,False,False,False
agea,PL_62513,True,False,False,False,False,False
agea,PL_93433,True,False,False,False,False,False
agea,PL_81923,True,False,False,False,False,False
agea,PL_98101,True,False,False,False,False,False
agea,PL_85562,True,False,False,False,False,False
agea,PL_76219,True,False,False,False,False,False
agea,PL_75794,False,True,False,False,False,False
agea,PL_88825,True,False,False,False,False,False
agea,PL_79241,True,False,False,False,False,False
agea,PL_66520,True,False,False,False,False,False
agea,PL_76813,True,False,False,False,False,False
agea,PL_74213,True,False,False,False,False,False
agea,PL_64861,True,False,False,False,False,False
agea,PL_90104,True,False,False,False,False,False
agea,PL_83617,True,False,False,False,False,False
agea,PL_83032,True,False,False,False,False,False
agea,PL_60445,True,False,False,False,False,False
agea,PL_68230,True,False,False,False,False,False
agea,PL_89589,True,False,False,False,False,False
agea,PL_64741,True,False,False,False,False,False
agea,PL_93444,True,False,False,False,False,False
agea,PL_51578,True,False,False,False,False,False
agea,PL_70410,False,True,False,False,False,False
agea,PL_67083,True,False,False,False,False,False
agea,PL_61734,True,False,False,False,False,False
agea,PL_81224,True,False,False,False,False,False
agea,PL_53703,True,False,False,False,False,False
agea,PL_82088,True,False,False,False,False,False
agea,PL_87879,True,False,False,False,False,False
agea,PL_98277,True,False,False,False,False,False
agea,PL_90487,True,False,False,False,False,False
agea,PL_93177,True,False,False,False,False,False
agea,PL_75052,True,False,False,False,False,False
agea,PL_87208,True,False,False,False,False,False
agea,PL_72776,True,False,False,False,False,False
agea,PL_80828,True,False,False,False,False,False
agea,PL_97989,True,False,False,False,False,False
agea,PL_91095,True,False,False,False,False,False
agea,PL_72034,True,False,False,False,False,False
agea,PL_84645,True,False,False,False,False,False
agea,PL_65232,True,False,False,False,False,False
agea,PL_55743,True,False,False,False,False,False
agea,PL_50992,True,False,False,False,False,False
agea,PL_71273,True,False,False,False,False,False
agea,PL_63415,True,False,False,False,False,False
agea,PL_68223,True,False,False,False,False,False
agea,PL_62788,True,False,False,False,False,False
agea,PL_91579,True,False,False,False,False,False
agea,PL_89908,True,False,False,False,False,False
agea,PL_89787,False,True,False,False,False,False
agea,PL_65653,True,False,False,False,False,False
agea,PL_62266,True,False,False,False,False,False
agea,PL_99069,True,False,False,False,False,False
agea,PL_59030,True,False,False,False,False,False
agea,PL_58102,True,False,False,False,False,False
agea,PL_61586,True,False,False,False,False,False
agea,PL_97621,True,False,False,False,False,False
agea,PL_74209,True,False,False,False,False,False
agea,PL_57203,True,False,False,False,False,False
agea,PL_68739,True,False,False,False,False,False
agea,PL_93716,True,False,False,False,False,False
agea,PL_71739,True,False,False,False,False,False
agea,PL_84319,True,False,False,False,False,False
agea,PL_90898,True,False,False,False,False,False
agea,PL_52079,True,False,False,False,False,False
agea,PL_87418,True,False,False,False,False,False
agea,PL_82730,True,False,False,False,False,False
agea,PL_92640,True,False,False,False,False,False
agea,PL_76489,True,False,False,False,False,False
agea,PL_78162,True,False,False,False,False,False
agea,PL_73892,True,False,False,False,False,False
agea,PL_72917,True,False,False,False,False,False
agea,PL_78290,True,False,False,False,False,False
agea,PL_56703,True,False,False,False,False,False
agea,PL_96609,True,False,False,False,False,False
agea,PL_94924,True,False,False,False,False,False
agea,PL_50934,True,False,False,False,False,False
agea,PL_51789,True,False,False,False,False,False
agea,PL_91615,True,False,False,False,False,False
agea,PL_87584,True,False,False,False,False,False
agea,PL_62475,False,True,False,False,False,False
agea,PL_61508,True,False,False,False,False,False
agea,PL_91857,True,False,False,False,False,False
agea,PL_67513,True,False,False,False,False,False
agea,PL_98962,True,False,False,False,False,False
agea,PL_65874,True,False,False,False,False,False
agea,PL_70094,True,False,False,False,False,False
agea,PL_88049,True,False,False,False,False,False
agea,PL_86763,True,False,False,False,False,False
agea,PL_57868,True,False,False,False,False,False
agea,PL_77729,True,False,False,False,False,False
agea,PL_53639,True,False,False,False,False,False
agea,PL_94292,True,False,False,False,False,False
agea,PL_58684,True,False,False,False,False,False
agea,PL_66399,True,False,False,False,False,False
agea,PL_70222,True,False,False,False,False,False
agea,PL_80866,True,False,False,False,False,False
agea,PL_61369,True,False,False,False,False,False
agea,PL_83999,True,False,False,False,False,False
agea,PL_98428,True,False,False,False,False,False
agea,PL_70249,True,False,False,False,False,False
agea,PL_76971,True,False,False,False,False,False
agea,PL_82564,True,False,False,False,False,False
agea,PL_60684,True,False,False,False,False,False
agea,PL_89670,True,False,False,False,False,False
agea,PL_98645,True,False,False,False,False,False
agea,PL_98898,True,False,False,False,False,False
agea,PL_87280,True,False,False,False,False,False
agea,PL_99034,True,False,False,False,False,False
agea,PL_92318,True,False,False,False,False,False
agea,PL_88930,True,False,False,False,False,False
agea,PL_95469,True,False,False,False,False,False
agea,PL_84150,True,False,False,False,False,False
agea,PL_57264,True,False,False,False,False,False
agea,PL_95797,True,False,False,False,False,False
agea,PL_92982,True,False,False,False,False,False
agea,PL_56972,True,False,False,False,False,False
agea,PL_87491,True,False,False,False,False,False
agea,PL_61390,True,False,False,False,False,False
agea,PL_51878,True,False,False,False,False,False
agea,PL_83783,True,False,False,False,False,False
agea,PL_60379,False,True,False,False,False,False
agea,PL_67185,True,False,False,False,False,False
agea,PL_87235,True,False,False,False,False,False
agea,PL_50758,True,False,False,False,False,False
agea,PL_53901,True,False,False,False,False,False
agea,PL_87809,True,False,False,False,False,False
agea,PL_84823,True,False,False,False,False,False
agea,PL_67952,True,False,False,False,False,False
agea,PL_73473,True,False,False,False,False,False
agea,PL_91609,True,False,False,False,False,False
agea,PL_90377,True,False,False,False,False,False
agea,PL_66604,True,False,False,False,False,False
agea,PL_82302,True,False,False,False,False,False
agea,PL_84522,True,False,False,False,False,False
agea,PL_64763,True,False,False,False,False,False
agea,PL_90029,True,False,False,False,False,False
agea,PL_72606,True,False,False,False,False,False
agea,PL_76769,True,False,False,False,False,False
agea,PL_60421,True,False,False,False,False,False
agea,PL_80367,True,False,False,False,False,False
agea,PL_95979,True,False,False,False,False,False
agea,PL_57747,True,False,False,False,False,False
agea,PL_64487,True,False,False,False,False,False
agea,PL_67823,True,False,False,False,False,False
agea,PL_56547,True,False,False,False,False,False
agea,PL_64991,True,False,False,False,False,False
agea,PL_54702,True,False,False,False,False,False
agea,PL_92780,True,False,False,False,False,False
agea,PL_52992,True,False,False,False,False,False
agea,PL_96736,True,False,False,False,False,False
agea,PL_83265,True,False,False,False,False,False
agea,PL_90076,True,False,False,False,False,False
agea,PL_54007,True,False,False,False,False,False
agea,PL_93232,True,False,False,False,False,False
agea,PL_75738,True,False,False,False,False,False
agea,PL_87870,True,False,False,False,False,False
agea,PL_95029,True,False,False,False,False,False
agea,PL_71079,True,False,False,False,False,False
agea,PL_69079,True,False,False,False,False,False
agea,PL_60966,True,False,False,False,False,False
agea,PL_86195,True,False,False,False,False,False
agea,PL_96104,True,False,False,False,False,False
agea,PL_73862,True,False,False,False,False,False
agea,PL_99007,True,False,False,False,False,False
agea,PL_84714,True,False,False,False,False,False
agea,PL_61443,True,False,False,False,False,False
agea,PL_88818,True,False,False,False,False,False
agea,PL_84264,True,False,False,False,False,False
agea,PL_62295,True,False,False,False,False,False
agea,PL_92462,True,False,False,False,False,False
agea,PL_66996,True,False,False,False,False,False
agea,PL_71873,True,False,False,False,False,False
agea,PL_72765,True,False,False,False,False,False
agea,PL_74851,True,False,False,False,False,False
agea,PL_58382,True,False,False,False,False,False
agea,PL_88072,True,False,False,False,False,False
agea,PL_71470,True,False,False,False,False,False
agea,PL_77780,True,False,False,False,False,False
agea,PL_59704,True,False,False,False,False,False
agea,PL_53129,True,False,False,False,False,False
agea,PL_97832,True,False,False,False,False,False
agea,PL_58848,True,False,False,False,False,False
agea,PL_82674,True,False,False,False,False,False
agea,PL_98932,True,False,False,False,False,False
agea,PL_64593,True,False,False,False,False,False
agea,PL_89208,True,False,False,False,False,False
agea,PL_74274,True,False,False,False,False,False
agea,PL_74298,True,False,False,False,False,False
agea,PL_57282,True,False,False,False,False,False
agea,PL_54183,True,False,False,False,False,False
agea,PL_68438,True,False,False,False,False,False
agea,PL_68818,True,False,False,False,False,False
agea,PL_56097,True,False,False,False,False,False
agea,PL_92331,True,False,False,False,False,False
agea,PL_75250,True,False,False,False,False,False
agea,SE_65739,True,False,False,False,False,False
agea,SE_70701,True,False,False,False,False,False
agea,SE_56901,True,False,False,False,False,False
agea,SE_65782,True,False,False,False,False,False
agea,SE_84783,True,False,False,False,False,False
agea,SE_81196,True,False,False,False,False,False
agea,SE_76930,True,False,False,False,False,False
agea,SE_67066,True,False,False,False,False,False
agea,SE_52878,True,False,False,False,False,False
agea,SE_53384,True,False,False,False,False,False
agea,SE_61575,True,False,False,False,False,False
agea,SE_79024,True,False,False,False,False,False
agea,SE_55998,True,False,False,False,False,False
agea,SE_82687,False,True,False,False,False,False
agea,SE_65606,True,False,False,False,False,False
agea,SE_61501,True,False,False,False,False,False
agea,SE_76029,True,False,False,False,False,False
agea,SE_60144,True,False,False,False,False,False
agea,SE_76806,True,False,False,False,False,False
agea,SE_58946,True,False,False,False,False,False
agea,SE_83828,True,False,False,False,False,False
agea,SE_58857,True,False,False,False,False,False
agea,SE_83423,True,False,False,False,False,False
agea,SE_84001,True,False,False,False,False,False
agea,SE_57390,True,False,False,False,False,False
agea,SE_71626,True,False,False,False,False,False
agea,SE_73253,True,False,False,False,False,False
agea,SE_84829,True,False,False,False,False,False
agea,SE_51054,True,False,False,False,False,False
agea,SE_50897,True,False,False,False,False,False
agea,SE_55462,True,False,False,False,False,False
agea,SE_76219,True,False,False,False,False,False
agea,SE_53079,True,False,False,False,False,False
agea,SE_59824,True,False,False,False,False,False
agea,SE_67657,True,False,False,False,False,False
agea,SE_71465,True,False,False,False,False,False
agea,SE_82794,True,False,False,False,False,False
agea,SE_53002,True,False,False,False,False,False
agea,SE_79306,True,False,False,False,False,False
agea,SE_54388,True,False,False,False,False,False
agea,SE_77048,True,False,False,False,False,False
agea,SE_70903,True,False,False,False,False,False
agea,SE_61998,True,False,False,False,False,False
agea,SE_81682,True,False,False,False,False,False
agea,SE_54675,True,False,False,False,False,False
agea,SE_56665,True,False,False,False,False,False
agea,SE_67736,True,False,False,False,False,False
agea,SE_77513,False,True,False,False,False,False
agea,SE_58928,True,False,False,False,False,False
agea,SE_77217,True,False,False,False,False,False
agea,SE_81383,True,False,False,False,False,False
agea,SE_76441,True,False,False,False,False,False
agea,SE_58505,True,False,False,False,False,False
agea,SE_50913,True,False,False,False,False,False
agea,SE_57967,True,False,False,False,False,False
agea,SE_67596,True,False,False,False,False,False
agea,SE_51439,True,False,False,False,False,False
agea,SE_59331,True,False,False,False,False,False
agea,SE_82728,True,False,False,False,False,False
agea,SE_79141,True,False,False,False,False,False
agea,SE_86125,True,False,False,False,False,False
agea,SE_71269,True,False,False,False,False,False
agea,SE_77583,True,False,False,False,False,False
agea,SE_83882,True,False,False,False,False,False
agea,SE_72954,True,False,False,False,False,False
agea,SE_71688,True,False,False,False,False,False
agea,SE_65549,True,False,False,False,False,False
agea,SE_76025,True,False,False,False,False,False
agea,SE_51857,True,False,False,False,False,False
agea,SE_72542,True,False,False,False,False,False
agea,SE_77794,True,False,False,False,False,False
agea,SE_83419,True,False,False,False,False,False
agea,SE_51913,True,False,False,False,False,False
agea,SE_67265,True,False,False,False,False,False
agea,SE_64268,True,False,False,False,False,False
agea,SE_64257,True,False,False,False,False,False
agea,SE_72123,True,False,False,False,False,False
agea,SE_56870,True,False,False,False,False,False
agea,SE_78308,True,False,False,False,False,False
agea,SE_80182,True,False,False,False,False,False
agea,SE_81699,True,False,False,False,False,False
agea,SE_65666,True,False,False,False,False,False
agea,SE_51601,True,False,False,False,False,False
agea,SE_65619,True,False,False,False,False,False
agea,SE_50443,True,False,False,False,False,False
agea,SE_74005,True,False,False,False,False,False
agea,SE_84984,True,False,False,False,False,False
agea,SE_51256,True,False,False,False,False,False
agea,SE_80497,True,False,False,False,False,False
agea,SE_78284,True,False,False,False,False,False
agea,SE_83519,True,False,False,False,False,False
agea,SE_68094,True,False,False,False,False,False
agea,SE_52009,True,False,False,False,False,False
agea,SE_60254,True,False,False,False,False,False
agea,SE_80786,True,False,False,False,False,False
agea,SE_54809,True,False,False,False,False,False
agea,SE_58453,True,False,False,False,False,False
agea,SE_73926,True,False,False,False,False,False
agea,SE_65232,True,False,False,False,False,False
agea,SE_81178,True,False,False,False,False,False
agea,SE_76399,True,False,False,False,False,False
agea,SE_54698,True,False,False,False,False,False
agea,SE_85139,True,False,False,False,False,False
agea,SE_82054,True,False,False,False,False,False
agea,SE_51062,True,False,False,False,False,False
agea,SE_63862,True,False,False,False,False,False
agea,SE_81389,True,False,False,False,False,False
agea,SE_67096,True,False,False,False,False,False
agea,SE_81912,True,False,False,False,False,False
agea,SE_76902,True,False,False,False,False,False
agea,SE_53265,True,False,False,False,False,False
agea,SE_55952,True,False,False,False,False,False
agea,SE_86068,True,False,False,False,False,False
agea,SE_51178,True,False,False,False,False,False
agea,SE_71458,True,False,False,False,False,False
agea,SE_60088,True,False,False,False,False,False
agea,SE_70956,True,False,False,False,False,False
agea,SE_51221,True,False,False,False,False,False
agea,SE_52173,True,False,False,False,False,False
agea,SE_64945,True,False,False,False,False,False
agea,SE_73668,True,False,False,False,False,False
agea,SE_53011,True,False,False,False,False,False
agea,SE_85772,True,False,False,False,False,False
agea,SE_85492,True,False,False,False,False,False
agea,SE_74961,True,False,False,False,False,False
agea,SE_66651,True,False,False,False,False,False
agea,SE_77974,True,False,False,False,False,False
agea,SE_61612,True,False,False,False,False,False
agea,SE_77024,True,False,False,False,False,False
agea,SE_75581,True,False,False,False,False,False
agea,SE_78636,True,False,False,False,False,False
agea,SE_82729,True,False,False,False,False,False
agea,SE_61949,True,False,False,False,False,False
agea,SE_61957,True,False,False,False,False,False
agea,SE_68449,True,False,False,False,False,False
agea,SE_61627,True,False,False,False,False,False
agea,SE_73189,True,False,False,False,False,False
