variable,n_total_attempted_rows,n_kept_rows,n_dropped_total,dropped_non_numeric_pred,dropped_true_is_77_88_99,dropped_true_not_in_brace_allowed,dropped_pred_not_in_brace_allowed,dropped_participant_excluded_due_to_any_special,brace_allowed_set_used,allowed_set_cardinality
agea,2420,2335,85,65,20,0,0,0,False,0
gndr,2420,2402,18,6,0,0,12,0,True,2
eisced,2420,2406,14,0,14,14,0,0,True,8
eduyrs,2420,2413,7,0,7,0,0,0,False,0
hinctnta,2420,2169,251,0,251,0,0,0,False,0
domicil,2420,2416,4,0,0,2,2,0,True,5
brncntr,2420,2417,3,0,0,1,2,0,True,2
rlgdgr,2420,2416,4,0,4,0,0,0,False,0
uemp12m,2420,2416,4,0,0,4,0,0,True,3
health,2420,2417,3,0,0,3,0,0,True,5
sclmeet,2420,2417,3,0,3,3,0,0,True,7
vote,2420,2415,5,0,0,5,0,0,True,3
prtvgde1,2420,1547,873,2,322,863,419,0,True,9
polintr,2420,2419,1,0,0,1,0,0,True,4
lrscale,2420,2317,103,0,103,0,0,0,False,0
trstprl,2420,2402,18,0,18,0,0,0,False,0
trstlgl,2420,2401,19,0,19,0,0,0,False,0
trstplt,2420,2401,19,0,19,0,0,0,False,0
trstprt,2420,2391,29,0,29,0,0,0,False,0
trstplc,2420,2414,6,0,6,0,0,0,False,0
trstep,2420,2357,63,0,63,0,0,0,False,0
stfdem,2420,2399,21,0,21,0,0,0,False,0
stfgov,2420,2373,47,0,47,0,0,0,False,0
ppltrst,2420,2420,0,0,0,0,0,0,False,0
pplfair,2420,2418,2,0,2,0,0,0,False,0
pplhlp,2420,2416,4,0,4,0,0,0,False,0
imbgeco,2420,2386,34,0,34,0,0,0,False,0
imueclt,2420,2398,22,0,22,0,0,0,False,0
imwbcnt,2420,2382,38,0,38,0,0,0,False,0
imdfetn,2420,2354,66,0,0,66,0,0,True,4
impcntr,2420,2357,63,0,0,63,0,0,True,4
gincdif,2420,2393,27,0,0,27,0,0,True,5
happy,2420,2417,3,0,3,0,0,0,False,0
stflife,2420,2418,2,0,2,0,0,0,False,0
